billing_date,provider,billing_account_id,resource_id,service_name,usage_type,region,team,project,environment,usage_quantity,usage_unit,cost_amount,currency
2026-05-11,Azure,az-2001,azure-resource-00031,Storage,Disk Storage,westeurope,Infrastructure,Cloud Migration,test,394.28,GB,11.6,EUR
2026-06-21,Azure,az-2001,azure-resource-00032,Compute,CPU Hours,northeurope,Security,Identity Platform,test,361.12,hours,69.72,EUR
2026-06-28,AWS,aws-1002,aws-resource-00033,Database,Database Hours,eu-west-1,Infrastructure,Cloud Migration,Development,335.11,hours,111.17,EUR
2026-05-29,Azure,az-2002,azure-resource-00034,Networking,Public IP,northeurope,Customer Product,Mobile Application,Development,147.02,GB,11.51,EUR
2026-03-02,Azure,az-2002,azure-resource-00035,Storage,Object Storage,westeurope,Security,Identity Platform,test,318.31,GB,9.08,EUR
2026-05-28,AWS,aws-1001,aws-resource-00036,Compute,CPU Hours,eu-central-1,Data Platform,Analytics Platform,Production,230.43,hours,83.31,EUR
2026-06-28,Azure,az-2002,azure-resource-00037,Storage,Object Storage,westeurope,Customer Product,Customer Portal,Production,390.32,GB,19.3,EUR
2026-04-24,AWS,aws-1002,aws-resource-00038,Networking,Public IP,eu-west-1,Customer Product,Mobile Application,Test,162.06,GB,13.96,EUR
2026-06-10,GCP,gcp-3001,gcp-resource-00039,Networking,Public IP,europe-north1,Security,Threat Monitoring,Development,384.08,GB,30.92,EUR
2026-06-27,AWS,aws-1001,aws-resource-00040,Database,Database Hours,eu-west-1,Customer Product,Mobile Application,Production,73.5,hours,42.57,EUR
2026-06-28,Azure,az-2001,azure-resource-00041,Networking,Public IP,northeurope,Infrastructure,Shared Services,DEV,197.79,GB,17.1,EUR
2026-06-04,AWS,aws-1001,aws-resource-00042,Database,Read Operations,eu-west-1,Infrastructure,Shared Services,DEV,271.42,hours,101.68,EUR
2026-02-02,Azure,az-2001,azure-resource-00043,Networking,Public IP,westeurope,Security,Identity Platform,DEV,363.47,GB,32.05,EUR
2026-04-08,AWS,aws-1002,aws-resource-00044,Networking,Public IP,eu-central-1,Customer Product,Mobile Application,Development,109.77,GB,8.33,EUR
2026-01-11,AWS,aws-1001,aws-resource-00045,Networking,Data Transfer,eu-west-1,Data Platform,Analytics Platform,test,38.97,GB,3.55,EUR
2026-04-05,AWS,aws-1001,aws-resource-00046,Storage,Object Storage,eu-west-1,Customer Product,Customer Portal,prod,235.19,GB,11.77,EUR
2026-01-20,Azure,az-2001,azure-resource-00047,Compute,Instance Hours,northeurope,Data Platform,Data Governance,DEV,201.34,hours,38.58,EUR
2026-04-18,GCP,gcp-3001,gcp-resource-00048,Compute,Instance Hours,europe-north1,Data Platform,Data Governance,Production,255.45,hours,78.82,EUR
2026-05-18,Azure,az-2002,azure-resource-00049,Networking,Public IP,northeurope,Customer Product,Mobile Application,test,138.69,GB,12.12,EUR
2026-06-06,GCP,gcp-3001,gcp-resource-00050,Database,Read Operations,europe-west1,Infrastructure,,DEV,125.71,hours,43.53,EUR
2026-03-12,Azure,az-2001,azure-resource-00051,Database,Database Hours,westeurope,Customer Product,Mobile Application,Development,143.43,hours,51.65,EUR
2026-03-17,AWS,aws-1001,aws-resource-00052,Networking,Public IP,eu-west-1,Security,Identity Platform,DEV,226.85,GB,15.52,EUR
2026-03-20,Azure,az-2002,azure-resource-00053,Database,Database Hours,westeurope,Security,Threat Monitoring,Development,179.15,hours,61.83,EUR
2026-05-04,GCP,gcp-3001,gcp-resource-00054,Storage,Disk Storage,europe-west1,Infrastructure,Cloud Migration,test,96.65,GB,2.65,EUR
2026-01-14,AWS,aws-1002,aws-resource-00055,Database,Database Hours,eu-central-1,Customer Product,,Test,67.66,hours,20.45,EUR
2026-01-30,AWS,aws-1001,aws-resource-00056,Compute,CPU Hours,eu-central-1,Infrastructure,Shared Services,Production,129.98,hours,46.68,EUR
2026-04-17,AWS,aws-1001,aws-resource-00057,Compute,CPU Hours,eu-central-1,Customer Product,Customer Portal,Production,496.99,hours,142.59,EUR
2026-06-10,Azure,az-2001,azure-resource-00058,Database,Read Operations,westeurope,Security,,test,54.12,hours,20.44,EUR
2026-03-01,AWS,aws-1002,aws-resource-00059,Storage,Disk Storage,eu-central-1,Customer Product,Customer Portal,test,298.94,GB,8.41,EUR
2026-02-06,AWS,aws-1001,aws-resource-00060,Storage,Object Storage,eu-west-1,Infrastructure,Cloud Migration,test,78.75,GB,2.2,EUR
2026-05-07,Azure,az-2002,azure-resource-00061,Database,Database Hours,westeurope,Security,Identity Platform,DEV,471.62,hours,165.09,EUR
2026-06-22,Azure,az-2002,azure-resource-00062,Database,Database Hours,westeurope,Infrastructure,Cloud Migration,Test,295.63,hours,88.59,EUR
2026-04-15,Azure,az-2002,azure-resource-00063,Networking,Public IP,westeurope,Infrastructure,Cloud Migration,DEV,484.68,GB,38.43,EUR
2026-03-06,AWS,aws-1002,aws-resource-00064,Database,Database Hours,eu-central-1,Security,Threat Monitoring,Test,23.17,hours,7.11,EUR
2026-01-14,GCP,gcp-3001,gcp-resource-00065,Compute,CPU Hours,europe-west1,,Threat Monitoring,Test,379.44,hours,70.87,EUR
2026-01-04,Azure,az-2002,azure-resource-00066,Networking,Data Transfer,westeurope,,Identity Platform,prod,356.34,GB,48.4,EUR
2026-05-04,AWS,aws-1002,aws-resource-00067,Networking,Data Transfer,eu-central-1,Data Platform,Analytics Platform,Test,354.18,GB,27.62,EUR
2026-04-17,GCP,gcp-3001,gcp-resource-00068,Storage,Disk Storage,europe-west1,Security,Identity Platform,prod,432.69,GB,21.8,EUR
2026-04-27,Azure,az-2002,azure-resource-00069,Database,Database Hours,westeurope,Security,Identity Platform,Development,278.2,hours,98.64,EUR
2026-06-19,GCP,gcp-3001,gcp-resource-00070,Networking,Public IP,europe-west1,,Mobile Application,test,457.15,GB,35.27,EUR
2026-06-17,AWS,aws-1001,aws-resource-00071,Database,Database Hours,eu-central-1,Data Platform,Data Governance,Production,362.61,hours,222.27,EUR
2026-05-05,Azure,az-2001,azure-resource-00072,Database,Database Hours,westeurope,Security,Identity Platform,Test,193.1,hours,63.87,EUR
2026-02-12,GCP,gcp-3001,gcp-resource-00073,Database,Database Hours,europe-west1,Customer Product,,test,353.43,hours,108.88,EUR
2026-02-16,Azure,az-2001,azure-resource-00074,Compute,Instance Hours,westeurope,Infrastructure,Shared Services,Test,208.97,hours,39.67,EUR
2026-06-20,GCP,gcp-3001,gcp-resource-00075,Networking,Public IP,europe-north1,Customer Product,Mobile Application,DEV,320.76,GB,25.35,EUR
2026-03-06,GCP,gcp-3001,gcp-resource-00076,Storage,Disk Storage,europe-west1,Data Platform,Data Governance,Development,321.27,GB,9.42,EUR
2026-06-18,Azure,az-2002,azure-resource-00077,Networking,Public IP,westeurope,Data Platform,Analytics Platform,Development,496.38,GB,37.27,EUR
2026-03-06,GCP,gcp-3001,gcp-resource-00078,Compute,Instance Hours,europe-west1,Security,Threat Monitoring,Development,113.41,hours,18.52,EUR
2026-02-21,Azure,az-2001,azure-resource-00079,Networking,Public IP,northeurope,Data Platform,,Development,166.73,GB,13.0,EUR
2026-02-27,AWS,aws-1002,aws-resource-00080,Database,Read Operations,eu-west-1,Security,Threat Monitoring,Production,236.82,hours,130.19,EUR
2026-06-13,Azure,az-2002,azure-resource-00081,Compute,Instance Hours,westeurope,Infrastructure,Cloud Migration,test,134.77,hours,23.39,EUR
2026-04-15,Azure,az-2001,azure-resource-00082,Compute,Instance Hours,westeurope,Infrastructure,Cloud Migration,DEV,455.15,hours,77.07,EUR
2026-06-28,AWS,aws-1002,aws-resource-00083,Database,Database Hours,eu-central-1,Security,Identity Platform,prod,197.38,hours,119.54,EUR
2026-03-02,GCP,gcp-3001,gcp-resource-00084,Compute,Instance Hours,europe-north1,Security,Threat Monitoring,test,188.41,hours,33.34,EUR
2026-06-13,GCP,gcp-3001,gcp-resource-00085,Database,Database Hours,europe-north1,Data Platform,Data Governance,DEV,50.38,hours,16.11,EUR
2026-03-26,AWS,aws-1001,aws-resource-00086,Storage,Object Storage,eu-central-1,Customer Product,Customer Portal,Test,111.9,GB,3.73,EUR
2026-03-02,AWS,aws-1002,aws-resource-00087,Storage,Object Storage,eu-west-1,Infrastructure,Cloud Migration,prod,12.36,GB,0.73,EUR
2026-06-01,Azure,az-2001,azure-resource-00088,Compute,CPU Hours,westeurope,Customer Product,Mobile Application,DEV,226.9,hours,39.15,EUR
2026-01-28,GCP,gcp-3001,gcp-resource-00089,Compute,CPU Hours,europe-west1,Infrastructure,,DEV,424.41,hours,74.7,EUR
2026-06-02,AWS,aws-1002,aws-resource-00090,Database,Read Operations,eu-central-1,Customer Product,Customer Portal,Test,276.44,hours,91.68,EUR
2026-01-25,AWS,aws-1002,aws-resource-00091,Compute,CPU Hours,eu-central-1,Customer Product,Mobile Application,Development,414.57,hours,72.36,EUR
2026-01-25,GCP,gcp-3001,gcp-resource-00092,Database,Database Hours,europe-west1,Infrastructure,Cloud Migration,Production,416.73,hours,230.5,EUR
2026-03-15,GCP,gcp-3001,gcp-resource-00093,Database,Read Operations,europe-west1,Data Platform,Data Governance,DEV,434.71,hours,162.24,EUR
2026-05-27,GCP,gcp-3001,gcp-resource-00094,Storage,Disk Storage,europe-west1,Customer Product,Mobile Application,Test,186.94,GB,6.05,EUR
2026-02-06,GCP,gcp-3001,gcp-resource-00095,Database,Database Hours,europe-west1,Data Platform,Analytics Platform,Development,178.76,hours,56.59,EUR
2026-05-26,GCP,gcp-3001,gcp-resource-00096,Compute,Instance Hours,europe-west1,Data Platform,Analytics Platform,prod,188.18,hours,65.02,EUR
2026-05-12,AWS,aws-1001,aws-resource-00097,Compute,CPU Hours,eu-central-1,Data Platform,Data Governance,Test,223.81,hours,37.54,EUR
2026-02-24,AWS,aws-1001,aws-resource-00098,Database,Read Operations,eu-central-1,,Threat Monitoring,Test,32.12,hours,10.25,EUR
2026-05-24,Azure,az-2002,azure-resource-00099,Compute,Instance Hours,northeurope,Data Platform,Data Governance,DEV,268.63,hours,44.44,EUR
2026-06-13,GCP,gcp-3001,gcp-resource-00100,Compute,CPU Hours,europe-west1,Security,,Development,290.0,hours,53.35,EUR
2026-01-28,Azure,az-2001,azure-resource-00101,Compute,CPU Hours,northeurope,Infrastructure,Cloud Migration,test,460.29,hours,72.61,EUR
2026-05-16,GCP,gcp-3001,gcp-resource-00102,Compute,CPU Hours,europe-north1,Security,Threat Monitoring,prod,42.81,hours,14.42,EUR
2026-01-20,GCP,gcp-3001,gcp-resource-00103,Storage,Disk Storage,europe-north1,Customer Product,Customer Portal,Test,80.67,GB,2.61,EUR
2026-06-01,GCP,gcp-3001,gcp-resource-00104,Networking,Public IP,europe-west1,Infrastructure,,DEV,317.54,GB,27.66,EUR
2026-01-24,Azure,az-2002,azure-resource-00105,Networking,Public IP,westeurope,,Identity Platform,Production,324.11,GB,53.36,EUR
2026-03-29,Azure,az-2001,azure-resource-00106,Storage,Object Storage,westeurope,Infrastructure,Shared Services,DEV,56.23,GB,1.89,EUR
2026-06-03,AWS,aws-1001,aws-resource-00107,Networking,Public IP,eu-west-1,Security,Identity Platform,DEV,207.34,GB,15.78,EUR
2026-05-30,Azure,az-2001,azure-resource-00108,Compute,CPU Hours,northeurope,Security,Threat Monitoring,Test,437.27,hours,74.77,EUR
2026-06-25,GCP,gcp-3001,gcp-resource-00109,Networking,Public IP,europe-north1,Customer Product,Customer Portal,Development,407.53,GB,34.27,EUR
2026-02-09,AWS,aws-1001,aws-resource-00110,Database,Read Operations,eu-west-1,Infrastructure,Cloud Migration,DEV,100.04,hours,40.27,EUR
2026-02-12,GCP,gcp-3001,gcp-resource-00111,Compute,Instance Hours,europe-north1,Infrastructure,Cloud Migration,prod,416.52,hours,145.93,EUR
2026-05-01,Azure,az-2001,azure-resource-00112,Storage,Disk Storage,northeurope,Security,Threat Monitoring,prod,269.34,GB,13.71,EUR
2026-06-14,Azure,az-2002,azure-resource-00113,Database,Read Operations,westeurope,Security,Threat Monitoring,Test,73.51,hours,23.8,EUR
2026-02-26,GCP,gcp-3001,gcp-resource-00114,Compute,CPU Hours,europe-west1,Infrastructure,Cloud Migration,Test,77.94,hours,13.77,EUR
2026-01-26,Azure,az-2002,azure-resource-00115,Compute,Instance Hours,westeurope,Security,Threat Monitoring,Development,116.15,hours,19.77,EUR
2026-03-07,AWS,aws-1001,aws-resource-00116,Database,Database Hours,eu-central-1,Security,Identity Platform,Test,7.6,hours,2.32,EUR
2026-01-29,AWS,aws-1002,aws-resource-00117,Database,Database Hours,eu-west-1,Customer Product,Mobile Application,test,397.98,hours,137.5,EUR
2026-01-22,GCP,gcp-3001,gcp-resource-00118,Storage,Object Storage,europe-west1,,Shared Services,Test,211.2,GB,6.65,EUR
2026-03-03,Azure,az-2001,azure-resource-00119,Networking,Public IP,westeurope,Data Platform,Data Governance,Production,181.76,GB,22.78,EUR
2026-02-04,AWS,aws-1001,aws-resource-00120,Database,Read Operations,eu-west-1,Infrastructure,Cloud Migration,test,241.87,hours,76.59,EUR
2026-05-20,Azure,az-2002,azure-resource-00121,Storage,Disk Storage,westeurope,Data Platform,Analytics Platform,Development,260.11,GB,8.95,EUR
2026-04-05,GCP,gcp-3001,gcp-resource-00122,Storage,Disk Storage,europe-north1,Infrastructure,,test,169.3,GB,4.51,EUR
2026-04-19,Azure,az-2001,azure-resource-00123,Database,Read Operations,westeurope,Customer Product,Mobile Application,Test,137.03,hours,41.96,EUR
2026-02-12,GCP,gcp-3001,gcp-resource-00124,Database,Read Operations,europe-north1,Infrastructure,Cloud Migration,Development,225.73,hours,84.16,EUR
2026-04-04,AWS,aws-1001,aws-resource-00125,Database,Database Hours,eu-west-1,Security,Threat Monitoring,Production,42.15,hours,27.65,EUR
2026-01-09,GCP,gcp-3001,gcp-resource-00126,Networking,Public IP,europe-north1,,Analytics Platform,Development,184.26,GB,16.73,EUR
2026-01-07,Azure,az-2001,azure-resource-00127,Networking,Public IP,northeurope,Data Platform,Analytics Platform,test,142.95,GB,13.02,EUR
2026-05-06,GCP,gcp-3001,gcp-resource-00128,Compute,Instance Hours,europe-west1,Infrastructure,Shared Services,Test,146.36,hours,29.64,EUR
2026-05-21,AWS,aws-1002,aws-resource-00129,Networking,Public IP,eu-west-1,Customer Product,Mobile Application,Development,335.58,GB,28.53,EUR
2026-04-03,GCP,gcp-3001,gcp-resource-00130,Storage,Disk Storage,europe-west1,Infrastructure,Cloud Migration,prod,122.18,GB,6.59,EUR
2026-05-28,GCP,gcp-3001,gcp-resource-00131,Compute,Instance Hours,europe-north1,Data Platform,Data Governance,DEV,265.22,hours,51.59,EUR
2026-02-03,GCP,gcp-3001,gcp-resource-00132,Compute,Instance Hours,europe-west1,Security,Threat Monitoring,Test,321.7,hours,52.38,EUR
2026-03-14,GCP,gcp-3001,gcp-resource-00133,Storage,Disk Storage,europe-west1,Infrastructure,Cloud Migration,prod,176.28,GB,10.78,EUR
2026-02-09,GCP,gcp-3001,gcp-resource-00134,Database,Read Operations,europe-west1,Customer Product,,test,88.47,hours,35.07,EUR
2026-06-10,AWS,aws-1002,aws-resource-00135,Compute,CPU Hours,eu-central-1,Data Platform,Data Governance,DEV,310.96,hours,48.09,EUR
2026-03-29,AWS,aws-1001,aws-resource-00136,Networking,Public IP,eu-central-1,,,DEV,210.73,GB,16.68,EUR
2026-03-10,GCP,gcp-3001,gcp-resource-00137,Database,Database Hours,europe-west1,Security,Identity Platform,Production,162.96,hours,101.63,EUR
2026-03-22,AWS,aws-1001,aws-resource-00138,Compute,Instance Hours,eu-central-1,Infrastructure,Shared Services,prod,407.67,hours,149.27,EUR
2026-02-25,GCP,gcp-3001,gcp-resource-00139,Networking,Data Transfer,europe-west1,Security,,DEV,255.2,GB,23.27,EUR
2026-04-04,Azure,az-2002,azure-resource-00140,Networking,Public IP,westeurope,Security,Threat Monitoring,DEV,71.3,GB,5.3,EUR
2026-06-09,Azure,az-2001,azure-resource-00141,Compute,Instance Hours,westeurope,Customer Product,,Test,227.93,hours,41.64,EUR
2026-01-10,Azure,az-2001,azure-resource-00142,Database,Read Operations,northeurope,Infrastructure,Shared Services,Test,203.69,hours,61.46,EUR
2026-03-18,GCP,gcp-3001,gcp-resource-00143,Networking,Public IP,europe-north1,Customer Product,Customer Portal,prod,199.51,GB,29.73,EUR
2026-06-26,Azure,az-2001,azure-resource-00144,Compute,CPU Hours,northeurope,Infrastructure,Shared Services,Test,157.3,hours,31.7,EUR
2026-06-24,GCP,gcp-3001,gcp-resource-00145,Storage,Object Storage,europe-west1,Data Platform,Data Governance,Test,388.43,GB,11.23,EUR
2026-05-01,AWS,aws-1001,aws-resource-00146,Compute,Instance Hours,eu-west-1,Security,Threat Monitoring,prod,208.14,hours,73.0,EUR
2026-06-24,GCP,gcp-3001,gcp-resource-00147,Database,Read Operations,europe-west1,Security,Threat Monitoring,Test,174.45,hours,58.39,EUR
2026-05-06,AWS,aws-1002,aws-resource-00148,Database,Read Operations,eu-central-1,Infrastructure,Cloud Migration,Development,353.93,hours,130.95,EUR
2026-02-07,GCP,gcp-3001,gcp-resource-00149,Database,Database Hours,europe-north1,Infrastructure,Cloud Migration,DEV,410.1,hours,163.11,EUR
2026-05-24,GCP,gcp-3001,gcp-resource-00150,Compute,Instance Hours,europe-west1,Infrastructure,Shared Services,prod,105.02,hours,34.42,EUR
2026-03-26,GCP,gcp-3001,gcp-resource-00151,Storage,Object Storage,europe-west1,Customer Product,Customer Portal,test,120.25,GB,3.17,EUR
2026-01-23,AWS,aws-1001,aws-resource-00152,Storage,Object Storage,eu-west-1,Security,Threat Monitoring,Development,163.98,GB,5.13,EUR
2026-01-10,Azure,az-2001,azure-resource-00153,Storage,Disk Storage,westeurope,Data Platform,Data Governance,test,481.26,GB,16.28,EUR
2026-01-29,Azure,az-2002,azure-resource-00154,Database,Database Hours,northeurope,Security,Threat Monitoring,Test,236.67,hours,75.2,EUR
2026-06-06,GCP,gcp-3001,gcp-resource-00155,Database,Read Operations,europe-north1,Customer Product,Customer Portal,Test,338.83,hours,107.67,EUR
2026-04-25,AWS,aws-1002,aws-resource-00156,Networking,Public IP,eu-central-1,Data Platform,Analytics Platform,prod,8.38,GB,1.16,EUR
2026-06-25,GCP,gcp-3001,gcp-resource-00157,Compute,Instance Hours,europe-north1,Infrastructure,,Production,235.37,hours,68.47,EUR
2026-05-01,Azure,az-2001,azure-resource-00158,Storage,Object Storage,westeurope,Customer Product,Customer Portal,Test,189.94,GB,6.04,EUR
2026-05-18,GCP,gcp-3001,gcp-resource-00159,Networking,Data Transfer,europe-north1,Infrastructure,Cloud Migration,Test,451.93,GB,32.92,EUR
2026-02-03,GCP,gcp-3001,gcp-resource-00160,Networking,Public IP,europe-west1,Data Platform,Analytics Platform,Test,225.51,GB,15.64,EUR
2026-04-19,GCP,gcp-3001,gcp-resource-00161,Networking,Data Transfer,europe-west1,Infrastructure,Cloud Migration,test,112.86,GB,7.87,EUR
2026-04-18,AWS,aws-1002,aws-resource-00162,Networking,Public IP,eu-central-1,Data Platform,Data Governance,test,489.27,GB,40.85,EUR
2026-02-02,Azure,az-2001,azure-resource-00163,Networking,Data Transfer,westeurope,Data Platform,Analytics Platform,prod,496.46,GB,69.2,EUR
2026-01-29,Azure,az-2001,azure-resource-00164,Networking,Public IP,westeurope,Security,Threat Monitoring,Development,81.79,GB,5.93,EUR
2026-01-12,AWS,aws-1002,aws-resource-00165,Storage,Disk Storage,eu-west-1,Data Platform,Analytics Platform,test,353.13,GB,9.16,EUR
2026-06-22,GCP,gcp-3001,gcp-resource-00166,Storage,Object Storage,europe-north1,Data Platform,Analytics Platform,test,290.17,GB,8.91,EUR
2026-06-10,AWS,aws-1002,aws-resource-00167,Storage,Disk Storage,eu-west-1,Security,Threat Monitoring,Test,440.46,GB,14.85,EUR
2026-02-27,Azure,az-2002,azure-resource-00168,Networking,Data Transfer,northeurope,Infrastructure,Shared Services,prod,378.44,GB,54.06,EUR
2026-04-05,AWS,aws-1001,aws-resource-00169,Networking,Data Transfer,eu-west-1,Security,Identity Platform,Development,325.12,GB,29.3,EUR
2026-02-23,Azure,az-2002,azure-resource-00170,Networking,Public IP,westeurope,Data Platform,Analytics Platform,test,337.37,GB,24.7,EUR
2026-05-22,AWS,aws-1002,aws-resource-00171,Storage,Disk Storage,eu-central-1,Data Platform,Data Governance,test,106.23,GB,3.58,EUR
2026-05-01,Azure,az-2002,azure-resource-00172,Database,Database Hours,northeurope,Infrastructure,Shared Services,DEV,53.81,hours,21.55,EUR
2026-04-17,Azure,az-2002,azure-resource-00173,Networking,Data Transfer,westeurope,Data Platform,,Test,467.71,GB,38.31,EUR
2026-05-06,Azure,az-2002,azure-resource-00174,Storage,Disk Storage,westeurope,Security,Identity Platform,test,172.09,GB,5.57,EUR
2026-05-15,GCP,gcp-3001,gcp-resource-00175,Database,Database Hours,europe-west1,Customer Product,Customer Portal,Test,495.21,hours,197.1,EUR
2026-06-08,AWS,aws-1002,aws-resource-00176,Networking,Public IP,eu-west-1,,Customer Portal,prod,255.34,GB,35.37,EUR
2026-06-22,AWS,aws-1002,aws-resource-00177,Networking,Data Transfer,eu-west-1,Data Platform,Analytics Platform,Development,13.49,GB,1.18,EUR
2026-04-06,AWS,aws-1002,aws-resource-00178,Storage,Disk Storage,eu-west-1,Customer Product,Customer Portal,Development,137.33,GB,3.99,EUR
2026-05-22,GCP,gcp-3001,gcp-resource-00179,Storage,Object Storage,europe-west1,Infrastructure,Cloud Migration,Production,51.28,GB,2.67,EUR
2026-01-25,GCP,gcp-3001,gcp-resource-00180,Storage,Object Storage,europe-west1,Data Platform,Data Governance,Development,285.1,GB,9.47,EUR
2026-01-09,GCP,gcp-3001,gcp-resource-00181,Networking,Public IP,europe-west1,Infrastructure,Cloud Migration,Development,450.16,GB,36.7,EUR
2026-05-19,AWS,aws-1002,aws-resource-00182,Storage,Disk Storage,eu-west-1,Security,Identity Platform,Test,418.15,GB,12.13,EUR
2026-06-02,GCP,gcp-3001,gcp-resource-00183,Compute,CPU Hours,europe-west1,Infrastructure,Cloud Migration,Production,173.59,hours,60.78,EUR
2026-06-19,GCP,gcp-3001,gcp-resource-00184,Database,Database Hours,europe-north1,Security,Threat Monitoring,DEV,218.76,hours,80.69,EUR
2026-04-03,AWS,aws-1001,aws-resource-00185,Compute,Instance Hours,eu-west-1,Data Platform,Data Governance,test,81.37,hours,14.16,EUR
2026-04-15,Azure,az-2001,azure-resource-00186,Networking,Data Transfer,westeurope,Infrastructure,,DEV,227.18,GB,18.47,EUR
2026-03-04,Azure,az-2001,azure-resource-00187,Compute,CPU Hours,westeurope,,Shared Services,Production,363.8,hours,119.98,EUR
2026-01-20,AWS,aws-1002,aws-resource-00188,Database,Read Operations,eu-west-1,Infrastructure,,DEV,141.6,hours,46.58,EUR
2026-03-26,GCP,gcp-3001,gcp-resource-00189,Networking,Public IP,europe-north1,Customer Product,Mobile Application,DEV,169.45,GB,14.04,EUR
2026-03-23,GCP,gcp-3001,gcp-resource-00190,Storage,Disk Storage,europe-west1,Infrastructure,Shared Services,DEV,160.52,GB,5.49,EUR
2026-06-24,Azure,az-2001,azure-resource-00191,Networking,Public IP,westeurope,Infrastructure,Shared Services,prod,298.15,GB,43.52,EUR
